non_occluded_path,occluded_path,emotion_class,dataset_source,split
AffectNet\disgust\image0042086.jpg,AffectNet\disgust\image0042086.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_03432_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_03432_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\BF32DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BF32DIHR.jpg,disgusted,KDEF,train
AffectNet\disgust\image0041986.jpg,AffectNet\disgust\image0041986.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_06685_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_06685_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09436_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09436_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_04428_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04428_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\John_Howard_0009.jpg,LFW\M-LFW-FER-masks\train\negative\John_Howard_0009_mask.png,disgusted,LFW,train
AffectNet\disgust\image0041966.jpg,AffectNet\disgust\image0041966.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_01729_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_01729_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_07403_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_07403_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0041510.jpg,AffectNet\disgust\image0041510.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Jean-Pierre_Bemba_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Jean-Pierre_Bemba_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0033839.jpg,AffectNet\disgust\image0033839.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_05575_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_05575_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0033678.jpg,AffectNet\disgust\image0033678.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\BM06DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM06DIHR.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\AF28DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF28DIHR.jpg,disgusted,KDEF,train
AffectNet\disgust\ffhq_4.png,AffectNet\disgust\ffhq_4.png,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF17DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF17DIHR.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\AM26DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AM26DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0029084.jpg,AffectNet\disgust\image0029084.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_06814_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_06814_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\BF24DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BF24DIHL.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\AM07DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AM07DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0035778.jpg,AffectNet\disgust\image0035778.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09426_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09426_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_05830_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_05830_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Bruna_Colosio_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Bruna_Colosio_0001_mask.png,disgusted,LFW,train
KDEF\KDEF_Sorted_Resized\disgusted\AF24DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF24DIHR.jpg,disgusted,KDEF,train
AffectNet\disgust\image0035169.jpg,AffectNet\disgust\image0035169.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0033852.jpg,AffectNet\disgust\image0033852.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF31DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF31DIHL.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_09487_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09487_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0039525.jpg,AffectNet\disgust\image0039525.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0038440.jpg,AffectNet\disgust\image0038440.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_00081_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_00081_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Mark_Heller_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Mark_Heller_0001_mask.png,disgusted,LFW,train
RAFDB\RAF-DB\train\3_disgusted\train_04353_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04353_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0039575.jpg,AffectNet\disgust\image0039575.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09509_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09509_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0037290.jpg,AffectNet\disgust\image0037290.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0033534.jpg,AffectNet\disgust\image0033534.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0037400.jpg,AffectNet\disgust\image0037400.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09420_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09420_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_05363_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_05363_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09455_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09455_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Juan_Carlos_Ferrero_0019.jpg,LFW\M-LFW-FER-masks\train\negative\Juan_Carlos_Ferrero_0019_mask.png,disgusted,LFW,train
KDEF\KDEF_Sorted_Resized\disgusted\AF35DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF35DIS.jpg,disgusted,KDEF,train
LFW\M-LFW-FER\train\negative\Mark_Philippoussis_0008.jpg,LFW\M-LFW-FER-masks\train\negative\Mark_Philippoussis_0008_mask.png,disgusted,LFW,train
AffectNet\disgust\image0041804.jpg,AffectNet\disgust\image0041804.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF15DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF15DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0041849.jpg,AffectNet\disgust\image0041849.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0029921.jpg,AffectNet\disgust\image0029921.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09668_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09668_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0041274.jpg,AffectNet\disgust\image0041274.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_08783_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_08783_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_01889_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_01889_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\George_W_Bush_0036.jpg,LFW\M-LFW-FER-masks\train\negative\George_W_Bush_0036_mask.png,disgusted,LFW,train
AffectNet\disgust\image0038266.jpg,AffectNet\disgust\image0038266.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\BF25DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BF25DIS.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_02470_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_02470_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\BM09DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM09DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0037214.jpg,AffectNet\disgust\image0037214.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09418_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09418_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_05749_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_05749_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\AF26DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF26DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0039893.jpg,AffectNet\disgust\image0039893.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0029197.jpg,AffectNet\disgust\image0029197.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0041829.jpg,AffectNet\disgust\image0041829.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0035582.jpg,AffectNet\disgust\image0035582.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_08500_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_08500_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0040131.jpg,AffectNet\disgust\image0040131.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09614_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09614_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0029707.jpg,AffectNet\disgust\image0029707.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_06278_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_06278_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\AF16DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF16DIS.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_09637_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09637_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09522_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09522_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0042402.jpg,AffectNet\disgust\image0042402.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF22DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF22DIS.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_04776_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04776_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0041551.jpg,AffectNet\disgust\image0041551.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0036063.jpg,AffectNet\disgust\image0036063.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Hoda_Asfor_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Hoda_Asfor_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0035673.jpg,AffectNet\disgust\image0035673.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0029420.jpg,AffectNet\disgust\image0029420.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Marisol_Martinez_Sambran_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Marisol_Martinez_Sambran_0001_mask.png,disgusted,LFW,train
RAFDB\RAF-DB\train\3_disgusted\train_03016_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_03016_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09632_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09632_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0031078.jpg,AffectNet\disgust\image0031078.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_00517_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_00517_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Alicia_Hollowell_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Alicia_Hollowell_0001_mask.png,disgusted,LFW,train
KDEF\KDEF_Sorted_Resized\disgusted\BM03DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM03DIHR.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_09403_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09403_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0021817.jpg,AffectNet\disgust\image0021817.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_03815_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_03815_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\BM18DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM18DIHR.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_00765_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_00765_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\BF32DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BF32DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0011887.jpg,AffectNet\disgust\image0011887.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09679_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09679_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0040566.jpg,AffectNet\disgust\image0040566.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\BM27DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM27DIHR.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_04078_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04078_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09692_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09692_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0021838.jpg,AffectNet\disgust\image0021838.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0033784.jpg,AffectNet\disgust\image0033784.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF17DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF17DIS.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\AF14DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF14DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0038784.jpg,AffectNet\disgust\image0038784.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AM12DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AM12DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0041264.jpg,AffectNet\disgust\image0041264.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF31DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF31DIHR.jpg,disgusted,KDEF,train
AffectNet\disgust\image0034411.jpg,AffectNet\disgust\image0034411.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0037462.jpg,AffectNet\disgust\image0037462.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\BF20DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BF20DIHL.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\BM22DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM22DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0039294.jpg,AffectNet\disgust\image0039294.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0041371.jpg,AffectNet\disgust\image0041371.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF08DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF08DIHL.jpg,disgusted,KDEF,train
AffectNet\disgust\image0007085.jpg,AffectNet\disgust\image0007085.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09730_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09730_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0038615.jpg,AffectNet\disgust\image0038615.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0036345.jpg,AffectNet\disgust\image0036345.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0007594.jpg,AffectNet\disgust\image0007594.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_03249_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_03249_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0035136.jpg,AffectNet\disgust\image0035136.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09577_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09577_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0038987.jpg,AffectNet\disgust\image0038987.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09410_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09410_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0038188.jpg,AffectNet\disgust\image0038188.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09466_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09466_aligned.jpg,disgusted,RAFDB,train
KDEF\KDEF_Sorted_Resized\disgusted\AF27DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF27DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0041252.jpg,AffectNet\disgust\image0041252.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AM24DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AM24DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0041228.jpg,AffectNet\disgust\image0041228.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0040533.jpg,AffectNet\disgust\image0040533.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF29DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF29DIS.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\AF25DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF25DIHR.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\BM31DIHR.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM31DIHR.jpg,disgusted,KDEF,train
AffectNet\disgust\image0038984.jpg,AffectNet\disgust\image0038984.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0038792.jpg,AffectNet\disgust\image0038792.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09695_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09695_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0036362.jpg,AffectNet\disgust\image0036362.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_04565_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04565_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Eduard_Shevardnadze_0005.jpg,LFW\M-LFW-FER-masks\train\negative\Eduard_Shevardnadze_0005_mask.png,disgusted,LFW,train
RAFDB\RAF-DB\train\3_disgusted\train_09626_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09626_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0038029.jpg,AffectNet\disgust\image0038029.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_01321_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_01321_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_05616_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_05616_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_09605_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09605_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Hamzah_Haz_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Hamzah_Haz_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0031170.jpg,AffectNet\disgust\image0031170.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_07941_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_07941_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\eval\negative\Tony_Blair_0136.jpg,LFW\M-LFW-FER-masks\eval\negative\Tony_Blair_0136_mask.png,disgusted,LFW,train
RAFDB\RAF-DB\train\3_disgusted\train_07188_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_07188_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0033815.jpg,AffectNet\disgust\image0033815.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0041715.jpg,AffectNet\disgust\image0041715.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0041492.jpg,AffectNet\disgust\image0041492.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09431_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09431_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0042043.jpg,AffectNet\disgust\image0042043.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Giuseppe_Gibilisco_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Giuseppe_Gibilisco_0002_mask.png,disgusted,LFW,train
AffectNet\disgust\image0041562.jpg,AffectNet\disgust\image0041562.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Margaret_Hasley_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Margaret_Hasley_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0038303.jpg,AffectNet\disgust\image0038303.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0034933.jpg,AffectNet\disgust\image0034933.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_07307_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_07307_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0042137.jpg,AffectNet\disgust\image0042137.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Guillermo_Coria_0015.jpg,LFW\M-LFW-FER-masks\train\negative\Guillermo_Coria_0015_mask.png,disgusted,LFW,train
LFW\M-LFW-FER\train\negative\Clara_Harris_0005.jpg,LFW\M-LFW-FER-masks\train\negative\Clara_Harris_0005_mask.png,disgusted,LFW,train
LFW\M-LFW-FER\train\negative\Mohammed_Al-Douri_0009.jpg,LFW\M-LFW-FER-masks\train\negative\Mohammed_Al-Douri_0009_mask.png,disgusted,LFW,train
AffectNet\disgust\image0027631.jpg,AffectNet\disgust\image0027631.jpg,disgusted,AffectNet,train
AffectNet\disgust\image0023325.jpg,AffectNet\disgust\image0023325.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\AF19DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\AF19DIS.jpg,disgusted,KDEF,train
KDEF\KDEF_Sorted_Resized\disgusted\BM32DIS.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM32DIS.jpg,disgusted,KDEF,train
AffectNet\disgust\image0035144.jpg,AffectNet\disgust\image0035144.jpg,disgusted,AffectNet,train
RAFDB\RAF-DB\train\3_disgusted\train_09593_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09593_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Mitchell_McLaughlin_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Mitchell_McLaughlin_0001_mask.png,disgusted,LFW,train
RAFDB\RAF-DB\train\3_disgusted\train_09425_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_09425_aligned.jpg,disgusted,RAFDB,train
RAFDB\RAF-DB\train\3_disgusted\train_01007_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_01007_aligned.jpg,disgusted,RAFDB,train
LFW\M-LFW-FER\train\negative\Rick_Carlisle_0002.jpg,LFW\M-LFW-FER-masks\train\negative\Rick_Carlisle_0002_mask.png,disgusted,LFW,train
LFW\M-LFW-FER\train\negative\Frank_Solich_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Frank_Solich_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0018803.jpg,AffectNet\disgust\image0018803.jpg,disgusted,AffectNet,train
KDEF\KDEF_Sorted_Resized\disgusted\BM08DIHL.jpg,KDEF\KDEF_Sorted_Occluded\disgusted\img\BM08DIHL.jpg,disgusted,KDEF,train
RAFDB\RAF-DB\train\3_disgusted\train_04143_aligned.png,RAFDB\RAF-DB_Occluded\train\3_disgusted\hands\img\train_04143_aligned.jpg,disgusted,RAFDB,train
AffectNet\disgust\image0039368.jpg,AffectNet\disgust\image0039368.jpg,disgusted,AffectNet,train
LFW\M-LFW-FER\train\negative\Eve_Pelletier_0001.jpg,LFW\M-LFW-FER-masks\train\negative\Eve_Pelletier_0001_mask.png,disgusted,LFW,train
AffectNet\disgust\image0038331.jpg,AffectNet\disgust\image0038331.jpg,disgusted,AffectNet,train
